Table with column headers in rows 3 and 4,,,,
StateFipsCode,CountyFipsCode,PostalCode,Name,PovertyEstimate
00,000,US,United States,"41,393,176"
01,000,AL,Alabama,"800,848"
01,001,AL,Autauga County,"6,296"
01,003,AL,Baldwin County,"25,526"
01,005,AL,Barbour County,"5,089"
01,007,AL,Bibb County,"4,204"
01,009,AL,Blount County,"6,992"
01,011,AL,Bullock County,"2,764"
01,013,AL,Butler County,"4,226"
01,015,AL,Calhoun County,"21,630"
01,017,AL,Chambers County,"6,699"
01,019,AL,Cherokee County,"4,513"
01,021,AL,Chilton County,"6,973"
01,023,AL,Choctaw County,"2,893"
01,025,AL,Clarke County,"4,366"
01,027,AL,Clay County,"2,560"
01,029,AL,Cleburne County,"2,236"
01,031,AL,Coffee County,"8,516"
01,033,AL,Colbert County,"9,396"
01,035,AL,Conecuh County,"2,528"
01,037,AL,Coosa County,"1,754"
01,039,AL,Covington County,"7,317"
01,041,AL,Crenshaw County,"2,267"
01,043,AL,Cullman County,"11,898"
01,045,AL,Dale County,"7,587"
01,047,AL,Dallas County,"10,914"
01,049,AL,DeKalb County,"13,783"
01,051,AL,Elmore County,"10,138"
01,053,AL,Escambia County,"8,147"
01,055,AL,Etowah County,"17,605"
01,057,AL,Fayette County,"3,123"
01,059,AL,Franklin County,"5,995"
01,061,AL,Geneva County,"5,566"
01,063,AL,Greene County,"2,520"
01,065,AL,Hale County,"3,221"
01,067,AL,Henry County,"2,694"
01,069,AL,Houston County,"20,210"
01,071,AL,Jackson County,"9,851"
01,073,AL,Jefferson County,"110,131"
01,075,AL,Lamar County,"2,300"
01,077,AL,Lauderdale County,"14,838"
01,079,AL,Lawrence County,"4,566"
01,081,AL,Lee County,"30,989"
01,083,AL,Limestone County,"10,363"
01,085,AL,Lowndes County,"2,786"
01,087,AL,Macon County,"4,725"
01,089,AL,Madison County,"39,316"
01,091,AL,Marengo County,"4,602"
01,093,AL,Marion County,"5,209"
01,095,AL,Marshall County,"15,145"
01,097,AL,Mobile County,"74,061"
01,099,AL,Monroe County,"4,349"
01,101,AL,Montgomery County,"47,309"
01,103,AL,Morgan County,"16,459"
01,105,AL,Perry County,"2,591"
01,107,AL,Pickens County,"3,591"
01,109,AL,Pike County,"7,429"
01,111,AL,Randolph County,"4,652"
01,113,AL,Russell County,"12,620"
01,115,AL,St. Clair County,"11,652"
01,117,AL,Shelby County,"17,306"
01,119,AL,Sumter County,"4,005"
01,121,AL,Talladega County,"14,936"
01,123,AL,Tallapoosa County,"7,420"
01,125,AL,Tuscaloosa County,"31,735"
01,127,AL,Walker County,"12,877"
01,129,AL,Washington County,"3,091"
01,131,AL,Wilcox County,"3,340"
01,133,AL,Winston County,"4,455"
02,000,AK,Alaska,"77,736"
02,013,AK,Aleutians East Borough,625
02,016,AK,Aleutians West Census Area,505
02,020,AK,Anchorage Borough,"26,920"
02,050,AK,Bethel Census Area,"4,496"
02,060,AK,Bristol Bay Borough,93
02,063,AK,Chugach Census Area,530
02,066,AK,Copper River Census Area,375
02,068,AK,Denali Borough,115
02,070,AK,Dillingham Census Area,"1,033"
02,090,AK,Fairbanks North Star Borough,"7,247"
02,100,AK,Haines Borough,223
02,105,AK,Hoonah-Angoon Census Area,395
02,110,AK,Juneau Borough,"2,378"
02,122,AK,Kenai Peninsula Borough,"6,729"
02,130,AK,Ketchikan Gateway Borough,"1,529"
02,150,AK,Kodiak Island Borough,"1,072"
02,158,AK,Kusilvak Census Area,"2,534"
02,164,AK,Lake and Peninsula Borough,290
02,170,AK,Matanuska-Susitna Borough,"11,453"
02,180,AK,Nome Census Area,"1,920"
02,185,AK,North Slope Borough,"1,354"
02,188,AK,Northwest Arctic Borough,"1,560"
02,195,AK,Petersburg Borough,269
02,198,AK,Prince of Wales-Hyder Census Area,859
02,220,AK,Sitka Borough,717
02,230,AK,Skagway Municipality,69
02,240,AK,Southeast Fairbanks Census Area,890
02,275,AK,Wrangell City and Borough,231
02,282,AK,Yakutat Borough,86
02,290,AK,Yukon-Koyukuk Census Area,"1,240"
04,000,AZ,Arizona,"919,680"
04,001,AZ,Apache County,"18,422"
04,003,AZ,Cochise County,"20,618"
04,005,AZ,Coconino County,"22,677"
04,007,AZ,Gila County,"8,900"
04,009,AZ,Graham County,"7,385"
04,011,AZ,Greenlee County,886
04,012,AZ,La Paz County,"3,303"
04,013,AZ,Maricopa County,"502,224"
04,015,AZ,Mohave County,"38,383"
04,017,AZ,Navajo County,"26,324"
04,019,AZ,Pima County,"151,169"
04,021,AZ,Pinal County,"45,630"
04,023,AZ,Santa Cruz County,"9,723"
04,025,AZ,Yavapai County,"29,766"
04,027,AZ,Yuma County,"34,270"
05,000,AR,Arkansas,"471,195"
05,001,AR,Arkansas County,"2,923"
05,003,AR,Ashley County,"3,950"
05,005,AR,Baxter County,"5,565"
05,007,AR,Benton County,"22,890"
05,009,AR,Boone County,"4,860"
05,011,AR,Bradley County,"2,011"
05,013,AR,Calhoun County,672
05,015,AR,Carroll County,"4,717"
05,017,AR,Chicot County,"2,594"
05,019,AR,Clark County,"3,699"
05,021,AR,Clay County,"2,543"
05,023,AR,Cleburne County,"4,109"
05,025,AR,Cleveland County,"1,054"
05,027,AR,Columbia County,"4,777"
05,029,AR,Conway County,"3,494"
05,031,AR,Craighead County,"19,674"
05,033,AR,Crawford County,"8,790"
05,035,AR,Crittenden County,"10,706"
05,037,AR,Cross County,"2,738"
05,039,AR,Dallas County,"1,213"
05,041,AR,Desha County,"3,032"
05,043,AR,Drew County,"2,715"
05,045,AR,Faulkner County,"16,486"
05,047,AR,Franklin County,"2,908"
05,049,AR,Fulton County,"2,157"
05,051,AR,Garland County,"14,319"
05,053,AR,Grant County,"2,017"
05,055,AR,Greene County,"5,898"
05,057,AR,Hempstead County,"4,125"
05,059,AR,Hot Spring County,"5,521"
05,061,AR,Howard County,"2,245"
05,063,AR,Independence County,"6,924"
05,065,AR,Izard County,"2,384"
05,067,AR,Jackson County,"3,316"
05,069,AR,Jefferson County,"12,258"
05,071,AR,Johnson County,"4,570"
05,073,AR,Lafayette County,"1,448"
05,075,AR,Lawrence County,"3,193"
05,077,AR,Lee County,"2,448"
05,079,AR,Lincoln County,"2,160"
05,081,AR,Little River County,"1,854"
05,083,AR,Logan County,"3,204"
05,085,AR,Lonoke County,"8,161"
05,087,AR,Madison County,"2,587"
05,089,AR,Marion County,"2,986"
05,091,AR,Miller County,"8,483"
05,093,AR,Mississippi County,"9,276"
05,095,AR,Monroe County,"1,667"
05,097,AR,Montgomery County,"1,692"
05,099,AR,Nevada County,"1,705"
05,101,AR,Newton County,"1,366"
05,103,AR,Ouachita County,"4,437"
05,105,AR,Perry County,"1,500"
05,107,AR,Phillips County,"5,623"
05,109,AR,Pike County,"1,844"
05,111,AR,Poinsett County,"4,948"
05,113,AR,Polk County,"3,697"
05,115,AR,Pope County,"10,897"
05,117,AR,Prairie County,"1,257"
05,119,AR,Pulaski County,"68,564"
05,121,AR,Randolph County,"3,141"
05,123,AR,St. Francis County,"6,108"
05,125,AR,Saline County,"10,572"
05,127,AR,Scott County,"1,681"
05,129,AR,Searcy County,"1,633"
05,131,AR,Sebastian County,"24,574"
05,133,AR,Sevier County,"2,854"
05,135,AR,Sharp County,"3,181"
05,137,AR,Stone County,"2,567"
05,139,AR,Union County,"6,726"
05,141,AR,Van Buren County,"2,659"
05,143,AR,Washington County,"30,035"
05,145,AR,White County,"12,106"
05,147,AR,Woodruff County,"1,514"
05,149,AR,Yell County,"2,996"
06,000,CA,California,"4,742,405"
06,001,CA,Alameda County,"152,654"
06,003,CA,Alpine County,194
06,005,CA,Amador County,"4,104"
06,007,CA,Butte County,"33,874"
06,009,CA,Calaveras County,"6,198"
06,011,CA,Colusa County,"2,466"
06,013,CA,Contra Costa County,"100,948"
06,015,CA,Del Norte County,"5,368"
06,017,CA,El Dorado County,"16,839"
06,019,CA,Fresno County,"193,449"
06,021,CA,Glenn County,"4,397"
06,023,CA,Humboldt County,"25,781"
06,025,CA,Imperial County,"29,738"
06,027,CA,Inyo County,"2,382"
06,029,CA,Kern County,"164,169"
06,031,CA,Kings County,"24,295"
06,033,CA,Lake County,"11,196"
06,035,CA,Lassen County,"4,805"
06,037,CA,Los Angeles County,"1,365,808"
06,039,CA,Madera County,"31,044"
06,041,CA,Marin County,"19,734"
06,043,CA,Mariposa County,"2,387"
06,045,CA,Mendocino County,"14,539"
06,047,CA,Merced County,"61,359"
06,049,CA,Modoc County,"1,688"
06,051,CA,Mono County,"1,278"
06,053,CA,Monterey County,"50,725"
06,055,CA,Napa County,"11,814"
06,057,CA,Nevada County,"12,141"
06,059,CA,Orange County,"309,402"
06,061,CA,Placer County,"26,816"
06,063,CA,Plumas County,"2,545"
06,065,CA,Riverside County,"282,068"
06,067,CA,Sacramento County,"203,413"
06,069,CA,San Benito County,"5,899"
06,071,CA,San Bernardino County,"285,474"
06,073,CA,San Diego County,"340,522"
06,075,CA,San Francisco County,"90,898"
06,077,CA,San Joaquin County,"95,382"
06,079,CA,San Luis Obispo County,"35,120"
06,081,CA,San Mateo County,"49,900"
06,083,CA,Santa Barbara County,"65,029"
06,085,CA,Santa Clara County,"128,955"
06,087,CA,Santa Cruz County,"27,132"
06,089,CA,Shasta County,"25,141"
06,091,CA,Sierra County,398
06,093,CA,Siskiyou County,"7,301"
06,095,CA,Solano County,"44,037"
06,097,CA,Sonoma County,"43,661"
